Remove Stop Words,Stemming,Weighting Scheme,Precision,Recall,F-Measure,MAP,DCG
False,True,lnc-itc,0.0,0,0,0,0
False,True,lnc-itc,0.0,0,0,0,0
False,True,lnc-itc,0.05,0.029411764705882353,0.03703703703703704,0.004166666666666667,0.27023815442731974
False,True,lnc-itc,0.55,0.12359550561797752,0.2018348623853211,0.28780846346635813,3.7662403483168783
False,True,lnc-itc,0.0,0,0,0,0
False,True,lnc-itc,0.0,0.0,0,0,0
False,True,lnc-itc,0.0,0,0,0,0
False,True,lnc-itc,0.1,0.0392156862745098,0.05633802816901408,0.06428571428571428,1.3333333333333333
False,True,lnc-itc,0.0,0.0,0,0,0
False,True,lnc-itc,0.0,0.0,0,0,0
False,True,lnc-itc,0.0,0.0,0,0,0
False,False,lnc-itc,0.1,0.043478260869565216,0.06060606060606061,0.0077777777777777776,0.46307916206359123
False,False,lnc-itc,0.05,0.038461538461538464,0.043478260869565216,0.05,1.0
False,False,lnc-itc,0.0,0.0,0,0,0
False,False,lnc-itc,0.0,0.0,0,0,0
False,False,lnc-itc,0.0,0.0,0,0,0
False,False,lnc-itc,0.0,0.0,0,0,0
False,False,lnc-itc,0.05,0.125,0.07142857142857144,0.015625,0.31546487678572877
False,False,lnc-itc,0.0,0.0,0,0,0
False,False,lnc-itc,0.1,0.058823529411764705,0.07407407407407408,0.1,1.6309297535714575
False,False,lnc-itc,0.15,0.11538461538461539,0.13043478260869565,0.029444444444444447,0.9232917162651612
False,False,lnc-itc,0.05,0.007874015748031496,0.013605442176870748,0.00625,0.31546487678572877
False,False,lnc-itc,0.0,0.0,0,0,0
False,False,lnc-itc,0.2,0.04395604395604396,0.07207207207207209,0.047247474747474746,1.234093243409049
False,False,lnc-itc,0.0,0.0,0,0,0
False,False,lnc-itc,0.05,0.012195121951219513,0.019607843137254905,0.0125,0.43067655807339306
False,False,lnc-itc,0.05,0.038461538461538464,0.043478260869565216,0.0125,0.43067655807339306
False,False,lnc-itc,0.1,0.07692307692307693,0.08695652173913043,0.030263157894736843,0.8623079667312167
False,False,lnc-itc,0.15,0.2727272727272727,0.19354838709677416,0.05779220779220779,0.9478563892648278
False,False,lnc-itc,0.55,0.13580246913580246,0.21782178217821782,0.40862637362637366,4.406696683428503
False,False,lnc-itc,0.35,0.04861111111111111,0.08536585365853658,0.18956652996126683,2.9522544944126325
False,False,lnc-itc,0.1,0.08,0.08888888888888889,0.06666666666666667,1.3562071871080221
False,False,lnc-itc,0.0,0.0,0,0,0
